Producto,Rol,Modulo,Seccion,En_Menu,Ver,Crear,Editar,Eliminar,Aprobar,Exportar,Configurar,Virtual,Diferido
XISTI,desarrollador,support-page-list,"Páginas de soporte",1,1,0,0,0,0,0,1,0,0
XISTI,desarrollador,transport-providers-list,"Conductores (aprobados)",0,0,0,0,0,0,0,0,0,0
XISTI,desarrollador,vehicle-commission-rates,"Comisiones por vehículo",0,0,0,0,0,0,0,0,0,0
XISTI,desarrollador,vehicle-services,"Servicios de vehículo",0,0,0,0,0,0,0,0,0,0
XISTI,desarrollador,vehicle-type,"Tipos de vehículo",0,0,0,0,0,0,0,0,0,0
XISTI,desarrollador,world-currency-list,Monedas,0,0,0,0,0,0,0,0,0,0
XISTI,aprobaciones,api-keys,"API keys",0,0,0,0,0,0,0,0,1,0
XISTI,aprobaciones,app-version-setting,"Versión de la app",0,0,0,0,0,0,0,0,0,0
XISTI,aprobaciones,audit-logs,Auditoría,0,0,0,0,0,0,0,0,1,0
XISTI,aprobaciones,cash-out-list,"Retiros (cash-out)",0,0,0,0,0,0,0,0,0,0
XISTI,aprobaciones,coupon-deals,"Cupones / deals",0,0,0,0,0,0,0,0,0,1
XISTI,aprobaciones,customer-list,Clientes,0,0,0,0,0,0,0,0,0,0
XISTI,aprobaciones,dashboard,Dashboard,0,1,0,0,0,1,0,0,1,0
XISTI,aprobaciones,driver-documents,"Documentos requeridos",1,1,0,0,0,1,0,0,0,0
XISTI,aprobaciones,drivers-moderation,"Moderación de conductores",1,1,0,0,0,1,0,0,0,0
XISTI,aprobaciones,earning-report,"Reporte de ganancias",0,0,0,0,0,0,0,0,0,0
XISTI,aprobaciones,email-templates,"Plantillas de email",0,0,0,0,0,0,0,0,0,0
XISTI,aprobaciones,geo-fencing-list,Geo-fencing,0,0,0,0,0,0,0,0,0,0
XISTI,aprobaciones,gods-view,"God's View",0,0,0,0,0,0,0,0,0,0
XISTI,aprobaciones,heat-map,"Mapa de calor",0,0,0,0,0,0,0,0,0,0
